global_step=140834, episodic_return=[-142.]
global_step=140975, episodic_return=[-140.]
global_step=141128, episodic_return=[-152.]
global_step=141223, episodic_return=[-94.]
global_step=141366, episodic_return=[-142.]
global_step=141501, episodic_return=[-134.]
global_step=141627, episodic_return=[-125.]
global_step=141778, episodic_return=[-150.]
global_step=141940, episodic_return=[-161.]
global_step=142068, episodic_return=[-127.]
global_step=142205, episodic_return=[-136.]
global_step=142328, episodic_return=[-122.]
global_step=142463, episodic_return=[-134.]
global_step=142563, episodic_return=[-99.]
global_step=142699, episodic_return=[-135.]
global_step=142827, episodic_return=[-127.]
global_step=142965, episodic_return=[-137.]
global_step=143085, episodic_return=[-119.]
global_step=143288, episodic_return=[-202.]
global_step=143461, episodic_return=[-172.]
global_step=143615, episodic_return=[-153.]
global_step=143757, episodic_return=[-141.]
global_step=143878, episodic_return=[-120.]
global_step=143990, episodic_return=[-111.]
global_step=144182, episodic_return=[-191.]
global_step=144276, episodic_return=[-93.]
global_step=144394, episodic_return=[-117.]
global_step=144544, episodic_return=[-149.]
global_step=144647, episodic_return=[-102.]
global_step=144765, episodic_return=[-117.]
global_step=144870, episodic_return=[-104.]
global_step=144997, episodic_return=[-126.]
global_step=145145, episodic_return=[-147.]
global_step=145248, episodic_return=[-102.]
global_step=145361, episodic_return=[-112.]
global_step=145519, episodic_return=[-157.]
global_step=145638, episodic_return=[-118.]
global_step=145744, episodic_return=[-105.]
global_step=145947, episodic_return=[-202.]
global_step=146080, episodic_return=[-132.]
global_step=146221, episodic_return=[-140.]
global_step=146394, episodic_return=[-172.]
global_step=146558, episodic_return=[-163.]
global_step=146710, episodic_return=[-151.]
global_step=146833, episodic_return=[-122.]
global_step=146960, episodic_return=[-126.]
global_step=147062, episodic_return=[-101.]
global_step=147199, episodic_return=[-136.]
global_step=147321, episodic_return=[-121.]
global_step=147445, episodic_return=[-123.]
global_step=147559, episodic_return=[-113.]
global_step=147768, episodic_return=[-208.]
global_step=147896, episodic_return=[-127.]
global_step=148050, episodic_return=[-153.]
global_step=148217, episodic_return=[-166.]
global_step=148381, episodic_return=[-163.]
global_step=148502, episodic_return=[-120.]
global_step=148635, episodic_return=[-132.]
global_step=148748, episodic_return=[-112.]
global_step=148857, episodic_return=[-108.]
global_step=148981, episodic_return=[-123.]
global_step=149127, episodic_return=[-145.]
global_step=149296, episodic_return=[-168.]
global_step=149427, episodic_return=[-130.]
global_step=149529, episodic_return=[-101.]
global_step=149648, episodic_return=[-118.]
global_step=149806, episodic_return=[-157.]
global_step=149953, episodic_return=[-146.]
global_step=150065, episodic_return=[-111.]
global_step=150223, episodic_return=[-157.]
global_step=150389, episodic_return=[-165.]
global_step=150510, episodic_return=[-120.]
global_step=150640, episodic_return=[-129.]
global_step=150797, episodic_return=[-156.]
global_step=150964, episodic_return=[-166.]
global_step=151111, episodic_return=[-146.]
global_step=151277, episodic_return=[-165.]
global_step=151392, episodic_return=[-114.]
global_step=151497, episodic_return=[-104.]
global_step=151567, episodic_return=[-69.]
global_step=151690, episodic_return=[-122.]
global_step=151777, episodic_return=[-86.]
global_step=151921, episodic_return=[-143.]
global_step=152059, episodic_return=[-137.]
global_step=152559, episodic_return=[-500.]
global_step=152698, episodic_return=[-138.]
global_step=152845, episodic_return=[-146.]
global_step=152983, episodic_return=[-137.]
global_step=153091, episodic_return=[-107.]
global_step=153221, episodic_return=[-129.]
global_step=153323, episodic_return=[-101.]
global_step=153497, episodic_return=[-173.]
global_step=153622, episodic_return=[-124.]
global_step=153750, episodic_return=[-127.]
global_step=153900, episodic_return=[-149.]
global_step=154040, episodic_return=[-139.]
global_step=154149, episodic_return=[-108.]
global_step=154295, episodic_return=[-145.]
global_step=154396, episodic_return=[-100.]
global_step=154542, episodic_return=[-145.]
global_step=154702, episodic_return=[-159.]
global_step=154807, episodic_return=[-104.]
global_step=154948, episodic_return=[-140.]
global_step=155097, episodic_return=[-148.]
global_step=155245, episodic_return=[-147.]
global_step=155345, episodic_return=[-99.]
global_step=155601, episodic_return=[-255.]
global_step=155716, episodic_return=[-114.]
global_step=155888, episodic_return=[-171.]
global_step=156034, episodic_return=[-145.]
global_step=156142, episodic_return=[-107.]
global_step=156282, episodic_return=[-139.]
global_step=156398, episodic_return=[-115.]
global_step=156510, episodic_return=[-111.]
global_step=156624, episodic_return=[-113.]
global_step=156753, episodic_return=[-128.]
global_step=156986, episodic_return=[-232.]
global_step=157110, episodic_return=[-123.]
global_step=157218, episodic_return=[-107.]
global_step=157383, episodic_return=[-164.]
global_step=157544, episodic_return=[-160.]
global_step=157674, episodic_return=[-129.]
global_step=157786, episodic_return=[-111.]
global_step=157912, episodic_return=[-125.]
global_step=158099, episodic_return=[-186.]
global_step=158251, episodic_return=[-151.]
global_step=158390, episodic_return=[-138.]
global_step=158518, episodic_return=[-127.]
global_step=158636, episodic_return=[-117.]
global_step=158778, episodic_return=[-141.]
global_step=158908, episodic_return=[-129.]
global_step=159031, episodic_return=[-122.]
global_step=159173, episodic_return=[-141.]
global_step=159292, episodic_return=[-118.]
global_step=159409, episodic_return=[-116.]
global_step=159519, episodic_return=[-109.]
global_step=159679, episodic_return=[-159.]
global_step=159798, episodic_return=[-118.]
global_step=159913, episodic_return=[-114.]
global_step=160015, episodic_return=[-101.]
global_step=160154, episodic_return=[-138.]
global_step=160267, episodic_return=[-112.]
global_step=160397, episodic_return=[-129.]
global_step=160525, episodic_return=[-127.]
global_step=160639, episodic_return=[-113.]
global_step=160733, episodic_return=[-93.]
global_step=160873, episodic_return=[-139.]
global_step=160998, episodic_return=[-124.]
global_step=161148, episodic_return=[-149.]
global_step=161283, episodic_return=[-134.]
global_step=161380, episodic_return=[-96.]
global_step=161517, episodic_return=[-136.]
global_step=161611, episodic_return=[-93.]
global_step=161729, episodic_return=[-117.]
global_step=161846, episodic_return=[-116.]
global_step=162043, episodic_return=[-196.]
global_step=162165, episodic_return=[-121.]
global_step=162279, episodic_return=[-113.]
global_step=162401, episodic_return=[-121.]
global_step=162486, episodic_return=[-84.]
global_step=162602, episodic_return=[-115.]
global_step=162719, episodic_return=[-116.]
global_step=162832, episodic_return=[-112.]
global_step=162934, episodic_return=[-101.]
global_step=163057, episodic_return=[-122.]
global_step=163203, episodic_return=[-145.]
global_step=163364, episodic_return=[-160.]
global_step=163481, episodic_return=[-116.]
global_step=163640, episodic_return=[-158.]
global_step=163749, episodic_return=[-108.]
global_step=163845, episodic_return=[-95.]
global_step=163960, episodic_return=[-114.]
global_step=164122, episodic_return=[-161.]
global_step=164222, episodic_return=[-99.]
global_step=164315, episodic_return=[-92.]
global_step=164457, episodic_return=[-141.]
global_step=164593, episodic_return=[-135.]
global_step=164842, episodic_return=[-248.]
global_step=164992, episodic_return=[-149.]
